Tweet,Message,Match,Polarity
1,Konosubastuff whats canada,canada,Neutral
2,RT CBCCanada Canadas Kim Boutin sets short track world record in womens m httpstcowVqjRQtUXr httpstcodHmNEWQgHL,httpstcodHmNEWQgHL,Neutral
3,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",rivers,Neutral
4,So today consisted of coffee and a catch up with the lovely sparklyang followed by hours of researching and booki httpstcoulBLyyYKW,lovely,Positive
5,turneresq MLS realsaltlake I had some interesting conversations about team partnerships and how MLS partnerships httpstcodJlvbXmXM,interesting,Positive
6,"How have they been so easily dismantled in countries like Canada and the UK
Countries with reputations as leaders httpstcoJfcbTNvE",like,Positive
7,mega Ok I bought both of these but please Im begging you to make them available in longsleeve Theyd both be b httpstcoEmiYFJBZ,begging,Negative
8,"RT FairVoteCanada This  This is why electoralreform matters
JustinTrudeau theJagmeetSingh ElizabethMay
 
New Zealand got rid of ",of,Neutral
9,"RT cravecreative Yes He is definitely following orders amp yes he is breaking this country apart
No doubt in my mind No one does this to",breaking,Negative
10,"RT DetmerMike This is what happens when the government decides if you live or die

httpstcoCuvgfLNh",die,Negative
11,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",rivers,Neutral
12,"RT mannyottawa WARNING  
If you are triggered about ClimateCrisis and as afraid as GretaThunberg dont read this tweet

China
",afraid,Negative
13,Goodnight All We could of had this Canada could have been saved But stupidity in Ontario Quebec and Atlantic Ca httpstcohIftnNAjo,stupidity,Negative
14,RT ballsdotie The Irish Womens Hockey Team have qualified for the  Olympics in Tokyo after a dramatic penalty shootout win over Can,qualified,Positive
15,"RT Lawsome This law is disturbingly broad and is rightly being challenged

Watch what you tweet new election law chills speech say",disturbingly,Negative
16,askmeek MeekMill Will you be coming to Canada soon,soon,Neutral
17,RT JanisIrwin When I arrived here I felt that this country and the Edmonton community saved my life and they brought me here so I have,have,Neutral
18,RT amandarachlee this video genuinely disgusts me canada is unabashedly multicultural speak whatever language you want here  httpst,unabashedly,Positive
19,RT TorontoStar Asylum seekers who were turned away by Canada at the CanadaUS border will finally have their day in court to explain wh,wh,Neutral
20,RT Mariola Canadas seniors are becoming the new face of homelessness  Trudeau is turning Canada into third world country but w,w,Neutral
21,OMG  OMG this is horrible  Fires in the States Canada AustraliaThe planet mother nature is about to r httpstcokJzaJRdv,horrible,Negative
22,"RT barstoolsports Shut down Canada and start it all over

httpstcoJuvzzISQy",httpstcoJuvzzISQy,Neutral
23,RT ssolyom Canadian voters already held the CPCHQ to account for their relentless reckless lying But it would be nice if you could st,relentless,Negative
24,"RT CoryBMorgan billion Pacific NorthWest LNG project by Petronas Bhd CANCELLED 

 Nexens billion Aurora LNG project CANCELLED",Aurora,Neutral
25,"RT WBrettWilson Maybe explain the absence of policy adding a carbon tax to COAL we ship in ever increasing quantities to China

Hint  w",absence,Negative
26,RT BenWFG Super excited for this Theres no one better than CurlRockStars to represent Quebec and Canada at the Grand Slam Novembre ,excited,Positive
27,"RT mannyottawa Canada vs Quebec 

Immigration values test   vs 
Bill  no religious wear   vs 
Dumping sewage in rivers   vs",rivers,Neutral
28,Pattihatestrump We use paper ballots in Canada Works great Try it,great,Positive
29,RT mannyottawa So basically Michael Wernick Canadas  unbiased TOP Bureaucrat helped TrudeauCorruption obstruct Justice then used Jus,unbiased,Positive
30,SteveDonohoe GinaMarieGMA winburnkim LGrand FaIILucifer itsJeffTiedrich realDonaldTrump Canada is a to httpstcoNQyjTkSF,httpstcoNQyjTkSF,Neutral
31,About time IMO Watch what you tweet new election law httpstcoVtvrstdPw,httpstcoVtvrstdPw,Neutral
32,RebelNewsOnline ezralevant SheilaGunnReid stirlingmg Always thought of Alberta as one of the bedrock provinces httpstcoBPPJLkSk,httpstcoBPPJLkSk,Neutral
33,RT ltmcdies This whole thread is interesting glimpse into the mindset of wexit  but after reading their myth of Canada thing  it so,interesting,Positive
34,RT resolutefp The boreal forest is thriving  of harvested areas in Canada are regenerated  its the law httpstcoCMgadjekhN ht,thriving,Positive
35,"RT barstoolsports Shut down Canada and start it all over

httpstcoJuvzzISQy",httpstcoJuvzzISQy,Neutral
36,RT gtlem AB Premier Jason Kenney is playing a dangerous game  The more he bashes Justin Trudeau the less sympathy the rest of Canada,dangerous,Negative
37,RT JanisIrwin When I arrived here I felt that this country and the Edmonton community saved my life and they brought me here so I have,have,Neutral
38,So Alberta picks a fight with bc and turns off the tapes and we pay  cents more a litre for gas and yet they th httpstconfeNkDAsfy,httpstconfeNkDAsfy,Neutral
39,Click the link in our bio to see currently open Sales RetailSales jobs like Full Time Sales Associates at Leons in Toronto ON Canada,like,Positive
40,hwanwoong IM LITERALLY SO EXCITED FOR THE VIDEOS AHHH  Watching from Canada,Canada,Neutral
41, November  YELLOW music instruments musicalinstrument saxophone cello sculpture art random httpstcoGVacExgm,httpstcoGVacExgm,Neutral
42,sharynsully mrmokeycat SiameseRescueUK Miameeze TuppenceMeezer MeesSiameseCat CocoNPops MiaandManu httpstcozEqdmNm,httpstcozEqdmNm,Neutral
43,RT AlwynFJH Twitter Im only telling you this bc in the Referendum my flatmates were from NZ Canada amp Australia and NONE of them knew t,t,Neutral
44,RT garyfeltham Business investment in Canada is at a year low Why because the Trudeau Liberals are economic illiterates httpst,httpst,Neutral
45,FPVaughanIII This judge needs to be fired Not my Canada,Canada,Neutral
46,"RT TBAMBB UNBBasketball MUNSeahawks  stalwarts

Jashajuan Downey  hes the  PG in Canada Trust the pedigree

Elliot Dimacul",Dimacul,Neutral
47,RT RoyalCdnLegion Project Trauma Support is grateful to the Legion for this generous financial support These funds will allow us to off,grateful,Positive
48,He brought the Uggs and a Canada Goose ,Goose,Neutral
49,RT freshdaily A man in Northern Ontario captured footage of an albino moose aka the Canadian unicorn    Nicole Leblanc canada moose,canada,Neutral
50,Government of Nunavut network hit by ransomware attack httpstcohGTqloABn Nunavut government security ransomware,attack,Negative
51,nawt them replying all i wanted was a superm x air canada safety video KDNFMDKSKSK,KDNFMDKSKSK,Neutral
52,RT ONTSpecialNeeds Cellphone ban takes effect Monday for Ontario students  CBC News httpstcovhHShsWg,httpstcovhHShsWg,Neutral
53,gilmcgowan Wait a minute dont we already have TM Does anyone think canada would shut down that pipe if we leave httpstcogGzZRoF,httpstcogGzZRoF,Neutral
54,"RT  SPhilip johnjakester I expect they demand some explanation on how this election was conducted
httpstcoHsdbCri
E",E,Neutral
55,RT nanbgood When Mother Nature says move thats what you do  I remember seeing this ship when I visited Niagara Falls over  years a,a,Neutral
56,RT angelamorales Joseflor hostiIekyle Im so glad I live in  where gay marriage has been legal since  where people dont e,glad,Positive
57,JohnKleinRegina michaelmaguire dinky KwalkerAD WalkerBragman Not in Canada,dinky,Negative
58,taylorrjoan GregAbbottTX The Doctor is far from free despite the legends that seem to travel the world  That httpstcorpJDGSHQ,free,Positive
59,qamarchaudhry UmarCheema Matiullahjan While sitting in Canada ampasking for independence aaaaaa thu ha tera httpstcoHvitpqaJ,httpstcoHvitpqaJ,Neutral
60,RT presscoreca Technically Justin Trudeau was defeated in the  election Canadas Governor General and House of Commons considers a,defeated,Positive
61,RT maureenpolitics Im at a total loss as to the hate geared toward the west I have always loved Canada but lately Im more and more uns,loss,Negative
62,thEMANacho Bro thats not AMERICAN thats fing Canada,Canada,Neutral
63,"RT adriearsenault And there is a lovely surprising story about a moment in Canada that changed the course of her life
Thank you Ambass",lovely,Positive
64,Some win for Ireland in the hockey tonight versus Canada Shout out to Limericks Róisín Upton  httpstcozlkazEqy,win,Positive
65,RT presscoreca Technically Justin Trudeau was defeated in the  election Canadas Governor General and House of Commons considers a,defeated,Positive
66,mountainknt RobertPiacente Hi Im in western Canada  When we were on the acreage the ferns that were on the httpstcopTJdEwWcK,httpstcopTJdEwWcK,Neutral
67,RT Swiftie And the unionizing of newsrooms by UniforTheUnion has had an appalling impact on media credibility And despite taxpayer su,appalling,Negative
68,RT Mariola Canadas seniors are becoming the new face of homelessness  Trudeau is turning Canada into third world country but w,w,Neutral
69,PROMO CODE ALERT  Off Orders Over  Code  OVER CANADA  PLUS Use this link  httpstcoXxprIQ,httpstcoXxprIQ,Neutral
70,RT Nikothepico When u talk to white americans about white canada httpstcosVhdfbAPJ,httpstcosVhdfbAPJ,Neutral
71,Thanks again morality killing Liberals,morality,Positive
72,"RT CanadaOooh cdnpoli
canpoli
Alberta

Political analyst Susan Riley makes  excellent points

 Albertas aggressive stance is kill",excellent,Positive
73,"RT  OldCoot DawsonMdhoust Ryaoli MarkFriesen TomTSEC Some ElectionFraud loopholes
 no mandatory citizenship ID
 vot",loopholes,Negative
74,RT BlaszczykBrock Rest easy brother let there be no more pain I remember when I went to Afghanistan damn near every car and business win,easy,Positive
75,RT HenryBloggins COMMENTARY Why did Canada send a team to the Military World Games in China httpstcoaSWAWKT,httpstcoaSWAWKT,Neutral
76,No comment Honest no comment Seriously Im saying nothing on behalf of anyone not even me which is standard f httpstcoOYgLIxGa,httpstcoOYgLIxGa,Neutral
77,RT ArthurAtkinson Id rather give the money to Quebec httpstcoubPLEY,httpstcoubPLEY,Neutral
78,prettypenguinme Diablo You guys dont give a shit about real estate speculation in the states and canada so you gu httpstcoxwxuxjCDP,shit,Negative
79,RT PatBruc ClarityWhisper sunnshiiny And if anyone thinks this is isolatedamp not supported by CPCKenneyIDUwar room  think againThese,supported,Positive
80,Much like the new DUI laws guilty until proven anti constitutional after losing a lot of money,like,Positive
81,Not only New Zealand You know that Australia Canada US Europe have a lots of spy,spy,Neutral
82,RT Swiftie And the unionizing of newsrooms by UniforTheUnion has had an appalling impact on media credibility And despite taxpayer su,appalling,Negative
83,"RT FPVaughanIII This is sick

Headline should be 

Judge Protects Those Who Groom Kids For Sex

Is grooming minors for sex something C",sick,Negative
84,RT Marvelanne Goodnight All We could of had this Canada could have been saved But stupidity in Ontario Quebec and Atlantic Canada,stupidity,Negative
85,RT Canadianwithat When the going gets tough Justin disappears till the smoke clears  He cant seem to face controversy head on https,tough,Positive
86,ninetynineand Yeah I mean this is Canada and weather is a thing Also we are dealing with a lot old design of c httpstcovsiHkTYh,httpstcovsiHkTYh,Neutral
87,ClixHimself FortniteGame Canada wasnt talking about Tofu during the v so it doesnt count,count,Neutral
88,maneaterdgr who wins tekken at the Canada Cup ,wins,Positive
89,RT ssolyom Canadian voters already held the CPCHQ to account for their relentless reckless lying But it would be nice if you could st,relentless,Negative
90,"She was right then and she is right now
Canada does not need to import hundreds of thousands more barbarians we al httpstcoNohXoiDJ",right,Positive
91,Thats what riles me so andrewscheer couldnt take a breath without bashing justintrudeau amp now he wants sympath httpstcoIOmfBiqP,bashing,Negative
92,Just admit it Bill your government has singled out our Oil amp Gas sector for demolition and it is working Very sad httpstcovppUYKptn,sad,Negative
93,RT derrickokeefe  marched in Montreal and  in Vancouver for climate But we couldnt have a climate debate But several hu,hu,Neutral
94,BBC News  US judge blocks Trump immigrant health insurance rule httpstcolsfYXcS,httpstcolsfYXcS,Neutral
95,RT mmccdenier The new amended Section  of the Canada Elections Act threatens prison terms of up to  years amp fines up to  for,prison,Negative
96,yo anyone from canada or the us fancy dealing me some davids tea,fancy,Positive
97,"RT redmcgraw I think its time in Canada to have full financial disclosures from our politicians candidates and charities 

Canadians",Canadians,Neutral
98,RT ZaidJilani Elizabeth Warrens suggestion that nobody but billionaires would pay higher taxes to fund universal health care is the libe,libe,Neutral
99,RT ONTSpecialNeeds Cellphone ban takes effect Monday for Ontario students  CBC News httpstcovhHShsWg,httpstcovhHShsWg,Neutral
100,Fortnite Account Codename Elf OG Black Knight Season  Mako Full Access httpstcoMtrnOLSGD Fortnite Canada httpstcozXBDuYSpe,httpstcozXBDuYSpe,Neutral
101,"RT StevieTenacious EPISODE  Skate Canada Training Camp

AKA  Ways to Say Fuck My Life httpstcozOrHJhqKLp",httpstcozOrHJhqKLp,Neutral
102,And now we must make sure that JustinTrudeau does not try to undo this cndpoli,cndpoli,Neutral
103,RT jackmintz By becoming a US corporation Encana gets a higher multiple due to US  investor interest  Given oil market prices are the s,s,Neutral
104,"RT MommytaMaldita Goodmorning

No  by Nadine Lustre and Ruby Ibarra 

 iTunes Canada
RampBSoul genre

 httpstcoLJhDGNicT",httpstcoLJhDGNicT,Neutral
105,RT biniamkidaneMD We need to do a better job of prioritizing funding and treatment lungcancer lcsm LungCancerAwarenessMonth tssmn  L,better,Positive
106,RT bradydennis For the th in our washingtonpost series about fastwarming places I traveled to the fragile Magdalen Islands in the Gu,fragile,Negative
107,RT Bandreescu  tho this szn has been insane Blessings on blessingsthank you God amp thank you to everyone who supports me throug,insane,Negative
108,"Yes of course From the moment of Justin Trudeaus decision to run for Liberal leader this was inevitable

What httpstconNbuxJK",inevitable,Negative
109,RT weshagel CoryBMorgan Since  central Canada has been the absentee landlord and we have been the serfs They have given us enough r,absentee,Negative
110,RT maxfawcett My dude please look at the stock charts for US shale companies Look at the bankruptcies that are happening with their own,own,Neutral
111,"RT AdsUpRefugees The emotional moment Amir met the Canadian sponsor team who freed him after more than six years stranded on Manus

Joi",freed,Positive
112,"RT  SPhilip johnjakester I expect they demand some explanation on how this election was conducted
httpstcoHsdbCri
E",E,Neutral
113,"RT FPVaughanIII This is sick

Headline should be 

Judge Protects Those Who Groom Kids For Sex

Is grooming minors for sex something C",sick,Negative
114,RT sarmcbride MLA unhappy after Shawnigan Lake landfill closure deadline extended  CBC News httpstcomjqlBTQ Why is the NDP letti,unhappy,Negative
115,windowmace BustyMustard NoGunsInCanada Respectfully thats a fundamental difference between gun culture in Can httpstcoDLtqcsTQz,httpstcoDLtqcsTQz,Neutral
116,RT DailyNatureshot The Wizards Tree in Victoria BC Canada nature httpstcocftvNhaHiN,httpstcocftvNhaHiN,Neutral
117,"Another great job from JustinTrudeau amp liberalparty 
Bank of Canada lowers growth forecasts says trade conflict httpstcoAXytmTou",great,Positive
118,DublinPride ILoveLGBTPride we had our first Winter Pride in Ottawa Canada this last winter and it was amazing ou httpstcoSrQCIDOh,amazing,Positive
119,Cellphone ban takes effect Monday for Ontario students  CBC News httpstcoOqwmYTdd,httpstcoOqwmYTdd,Neutral
120,National Bank of Canada Launches CAD  Innovation Competition httpstcoWXyAwznS startups,startups,Neutral
121,"RT CoryBMorgan If only Canada could ship them some nice clean burning LNG to help with this particulate emission issue 

Alas we cant",nice,Positive
122,"RT FIHHockey FIH Hockey Olympic qualifiers Match  Ireland vs Canada highlights

RoadToTokyo GiftOfHockey Tokyo

irishhockey",irishhockey,Neutral
123,RT nspector My argument is that the Government of Canada should pursue Canadas national interests in international negotiations and not,interests,Positive
124,"RT FuzzyWuzzyTO Dear Alberta
You know you could organize a mass proCanada rally and show the silly Wexiteers what a tiny minority th",silly,Negative
125,RT CdnEncyclopedia DYK the Cdn govt introduced DaylightSavingTime in  to increase productivity during WWI A prebreakfast hour o,o,Neutral
126,Rogue State bullies Japan httpstcoaaqXIEVN Poland Ukraine Belarus Czech Slovakia Romania Finland Canada Greece Turkey,bullies,Negative
127,RT Imamofpeace State Department says Iran still biggest state sponsor of terror spends B per year on proxies Theres no Iranian Embas,terror,Negative
128,"RT AdsUpRefugees The emotional moment Amir met the Canadian sponsor team who freed him after more than six years stranded on Manus

Joi",freed,Positive
129,RT DianeMariePosts Woukd Mr Kenney please explain why the taxpayers of Canada must bail out a province with highest percapita incomes,incomes,Neutral
130,TokyoTom aSinister CrispyCX wiaceka JohnPisulaMBA AtomsksSanakan nedau Overppm GillesnFio JpiersM httpstcozsIOFLN,httpstcozsIOFLN,Neutral
131,RT Mariola Canadas seniors are becoming the new face of homelessness  Trudeau is turning Canada into third world country but w,w,Neutral
132,BAFTAScotland SynchronicityF BBCOne Congratulations Now if only CBCEnt would pick up The Cry for those of us httpstcoGuRMmCjGW,httpstcoGuRMmCjGW,Neutral
133,RT bimvision  voices need to shout louder longer amp farther Canada is worth every voice WE MUST SAVE OUR COUNTRY AT ALL COST ht,louder,Negative
134,"RT CoryBMorgan billion Pacific NorthWest LNG project by Petronas Bhd CANCELLED 

 Nexens billion Aurora LNG project CANCELLED",Aurora,Neutral
135,"HELP SAVE   KIDS THE HUB
RICHMOND HILL ONTARIO CANADA
IT COULD BE YOUR DAUGHTER OR SON
David thompson marfred art httpstcoZaGrrVONku",httpstcoZaGrrVONku,Neutral
136,RT Mariola Canadas seniors are becoming the new face of homelessness  Trudeau is turning Canada into third world country but w,w,Neutral
137,"RT mannyottawa WARNING  
If you are triggered about ClimateCrisis and as afraid as GretaThunberg dont read this tweet

China
",afraid,Negative
138,"RT FairVoteCanada This  This is why electoralreform matters
JustinTrudeau theJagmeetSingh ElizabethMay
 
New Zealand got rid of ",of,Neutral
139,RT IDFSF Terroralert speakers to be rolled out across the US UK Canada Australia and NZ In the unlikely event of a terror attack,unlikely,Negative
140,RT PapaJohns Just ordered PapaJohns Use promo code PAPATRACK for  off your next regular menu price order US amp Canada online only,only,Neutral
141,RT stephenfgordon TFW the Newspaper of Record takes a tweet of yours uses it as a springboard for a story and reproduces the graph you m,m,Neutral
142,RT NataliaMateo The purpose of Trudeaus deficits are to hamstring Canada for decades with enormous interest and the requirement for ev,ev,Neutral
143,Youre amazing DrJulietDonald,amazing,Positive
144,RT maureenpolitics Im at a total loss as to the hate geared toward the west I have always loved Canada but lately Im more and more uns,loss,Negative
145,RT janelleybelley For every antiAlberta tweet I read it makes me hate my fellow Canadians and makes me want to separate even more Thi,hate,Negative
146,RT presscoreca Technically Justin Trudeau was defeated in the  election Canadas Governor General and House of Commons considers a,defeated,Positive
147,RT CitaSchijven So cute this soulmates  Inigo said that Maris is his favourite partner in performing and in everything Soulmates indeed,cute,Positive
148,RT LaughOutNOW CANT MAKE A RECOVERY MEETING here is a FREE alternative Recovery Filmdoc to subsitute addiction amp mental health FREE F,F,Neutral
149,What a night for IreWomenHockey Start rebooking your tickets to Tokyo  Olympics  ,Olympics,Neutral
150,Are you planning on IncorporatingABusiness in Canada Here is what you need to know before you get started httpstcopZuGShp,httpstcopZuGShp,Neutral
151,RT sunlorrie A dangerous new law Basically it turns what should be at worst a civil defamation case into a criminal matter Its using,dangerous,Negative
152,Monash University researcher puts the question of race at the centre of robotics httpstcoZugmNhbYu,httpstcoZugmNhbYu,Neutral
153,RT whitloww Im loving it Lets do it Spring  HBCU Tour Start in alphabetical order and come to the best HBCU there is Alabama S,loving,Positive
154,RT JamesMelville Denmark pays its students  a month to go to university and charge no tuition fees Students are seen as an investm,investm,Neutral
155,"RT KawaiiStacieYT The Sims  Discover University Giveaway

 Winners
Ends 

Enter httpstcoTjHzpgKR httpstcosSeZXCI",httpstcosSeZXCI,Neutral
156,Clickbank University httpstcoXnThBEuTvb,httpstcoXnThBEuTvb,Neutral
157,RT esmemurphy Huge ovation for BernieSanders as he arrives with his wife Jane at Williams Arena at University of Mn httpstcoqULD,ovation,Positive
158,"RT electionadvent In just  days you can let the BList Fake University Founder In Chief see what you believe
Make absolutely sure ev",ev,Neutral
159,"RT USCUPDiliman IskoOps

The University Student Council is extending its help to the victims of the earthquakes in Mindanao through a do",do,Neutral
160,RT trtlangu Langston University  will definitely show you all the love  httpstcoToSAyK,love,Positive
161,RT USTechWorkers SenatorDurbin The guy who shot this video went to a visa mill university worked for a body shop company called Genpact,worked,Positive
162,"Monday in the CRC
Northern State University  
Hamline  ",Hamline,Neutral
163,CarolineClason LDrogosPhD I am first gen university and grad schoolPhD in a large family apart from one perso httpstcoLOPSsTsli,httpstcoLOPSsTsli,Neutral
164, Gabriel Zucman and Emmanuel Saez awardwinning professors of Economics at the University of California Berkeley,Berkeley,Neutral
165,RT geoffpwade New Zealand Before Auckland you had the University of Waikato Concerns as swordwielding men waving Chinese flag marc,marc,Neutral
166,RT lokinhei Student reporters from Baptist University of Hong Kong arrested by Hong Kong Police when he was filming the clash at Tai Ko S,clash,Negative
167,RT brownchipper I know hes paid to win football games at this University but I will stand behind this kind of leadership always He is,win,Positive
168,BrexitCentral Why would anyone listen to this man He voted for university fees and he could have stopped it,it,Neutral
169,"RT GregRubini  the whistleblower Eric Ciaramella attended Yale University
Department of Linguistics

BA in 

 
httpstcoIcDI",httpstcoIcDI,Neutral
170,RT ShafiqaZairina Was in Copenhagen last month and its  apparent their way and view of life is just so different from developing nations,nations,Neutral
171,Take it,it,Neutral
172,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
173,"RT gifdsports Matthew Judon went to Body built by taco bell university 
httpstcoMyuQyWSfZg",httpstcoMyuQyWSfZg,Neutral
174,Monash University researcher puts the question of race at the centre of robotics httpstcoevxsYRnDUd,httpstcoevxsYRnDUd,Neutral
175,ageeelyyy Good day Yes but please be advised that payments made via bank get reflected on your UE account on the httpstcoiwTcYd,httpstcoiwTcYd,Neutral
176,RT JudicialWatch In the midst of a human rights crisis amp violent prodemocracy manifestations in China JW has obtained records that expo,crisis,Negative
177,RT tnitne A Cornell University study found that men overestimate their abilities and performance while women underestimate both A Hew,underestimate,Negative
178,trump university majors be like damn i got a racist failing business model due this friday,trump,Positive
179,"RT GregRubini  the whistleblower Eric Ciaramella attended Yale University
Department of Linguistics

BA in 

 
httpstcoIcDI",httpstcoIcDI,Neutral
180,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
181,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
182,RT ChidiOdinkalu Vitalis Lanshima lost both hands in  electrocution accident in  Since then hes completed his degrees in communica,lost,Negative
183,Such ignorance,ignorance,Negative
184,RT MaydayReal Immigration checkpoint I  and University They have a bus and taking ppl in the Boston Market parking lot and checking e,e,Neutral
185,RT esmemurphy Huge ovation for BernieSanders as he arrives with his wife Jane at Williams Arena at University of Mn httpstcoqULD,ovation,Positive
186,"RT MarieResists A Purdue University student was denied the purchase of an OTC cold medicine by CVS by employees at an Indiana store

Af",denied,Negative
187,MarieDackes dungbeetles and machinelearning httpstcoJDNcgTnoo,httpstcoJDNcgTnoo,Neutral
188,University of Technology Sydney UTS is organising the Australian Enterprise Architecture Summer School February httpstcoxaxXviwN,httpstcoxaxXviwN,Neutral
189,ChootyNangi Sajith has a MSC if im not mistaken and  a  degree  from  University  of  London im not a supporter httpstcoCINKAxZa,mistaken,Negative
190,LEDs cause depression,depression,Negative
191,RT gottalovetrey MY FAM IS MISSING FROM THE ATLANTA AREA SHES A STUDENT A CLARK ATLANTA UNIVERSITYRETWEET AND SHARE PLEASE  httpst,httpst,Neutral
